O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	8823	FT	1	4.34	79	2.48	1.36	12.96	N	07/2014	Incumbent
11-1011.00	8823	FT	2	9.16	79	3.86	3.86	20.24	N	07/2014	Incumbent
11-1011.00	8823	FT	3	11.04	79	3.44	5.82	19.95	N	07/2014	Incumbent
11-1011.00	8823	FT	4	16.19	79	4.37	9.24	26.83	N	07/2014	Incumbent
11-1011.00	8823	FT	5	46.67	79	6.03	35.07	58.64	N	07/2014	Incumbent
11-1011.00	8823	FT	6	7.33	79	3.40	2.83	17.65	N	07/2014	Incumbent
11-1011.00	8823	FT	7	5.26	79	4.30	0.99	23.59	N	07/2014	Incumbent
11-1011.00	8823	IM	n/a	4.54	78	0.08	4.38	4.71	N	07/2014	Incumbent
11-1011.00	8823	RT	n/a	94.19	87	3.35	82.75	98.21	N	07/2014	Incumbent
11-1011.00	8831	FT	1	12.96	83	3.77	7.12	22.44	N	07/2014	Incumbent
11-1011.00	8831	FT	2	16.77	83	4.67	9.38	28.15	N	07/2014	Incumbent
11-1011.00	8831	FT	3	15.16	83	4.46	8.22	26.27	N	07/2014	Incumbent
11-1011.00	8831	FT	4	15.18	83	4.41	8.30	26.13	N	07/2014	Incumbent
11-1011.00	8831	FT	5	23.95	83	5.84	14.27	37.34	N	07/2014	Incumbent
11-1011.00	8831	FT	6	15.36	83	5.37	7.39	29.21	N	07/2014	Incumbent
11-1011.00	8831	FT	7	0.63	83	0.64	0.08	4.59	N	07/2014	Incumbent
11-1011.00	8831	IM	n/a	4.48	82	0.08	4.31	4.65	N	07/2014	Incumbent
11-1011.00	8831	RT	n/a	94.26	87	4.36	76.81	98.79	N	07/2014	Incumbent
11-1011.00	8825	FT	1	0.00	87	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8825	FT	2	19.04	87	5.69	10.15	32.88	N	07/2014	Incumbent
11-1011.00	8825	FT	3	12.61	87	3.81	6.76	22.29	N	07/2014	Incumbent
11-1011.00	8825	FT	4	18.96	87	4.97	10.96	30.79	N	07/2014	Incumbent
11-1011.00	8825	FT	5	35.11	87	5.96	24.34	47.64	N	07/2014	Incumbent
11-1011.00	8825	FT	6	10.56	87	3.79	5.05	20.77	N	07/2014	Incumbent
11-1011.00	8825	FT	7	3.73	87	2.03	1.24	10.65	N	07/2014	Incumbent
11-1011.00	8825	IM	n/a	4.40	86	0.10	4.21	4.59	N	07/2014	Incumbent
11-1011.00	8825	RT	n/a	100.00	87	0.00	n/a	n/a	N	07/2014	Incumbent
11-1011.00	8826	FT	1	3.17	84	2.97	0.48	18.27	N	07/2014	Incumbent
11-1011.00	8826	FT	2	9.27	84	3.97	3.84	20.71	N	07/2014	Incumbent
11-1011.00	8826	FT	3	10.18	84	3.85	4.68	20.75	N	07/2014	Incumbent
11-1011.00	8826	FT	4	23.83	84	6.25	13.63	38.28	N	07/2014	Incumbent
11-1011.00	8826	FT	5	38.47	84	8.10	24.04	55.27	N	07/2014	Incumbent
