,stkcd,year,员工总数,人均创收万元,人均创利万元,本科,本科学历占比,IndustryName,OfficeAddress,PROVINCE,CITY
0,1,2007,8573,126.064411524554,30.9098681908317,8040,71.1,其他商业银行,深圳市深南东路5047号深圳发展银行大厦,广东省,深圳市
1,1,2008,10381,139.804633464984,5.91498892206917,8040,71.1,其他商业银行,深圳市深南东路5047号深圳发展银行大厦,广东省,深圳市
2,1,2009,11308,133.661478599222,44.4882295719844,8040,71.1,其他商业银行,深圳市深南东路5047号深圳发展银行大厦,广东省,深圳市
3,1,2010,12203,147.687273621241,51.4940260591658,8040,71.1,其他商业银行,深圳市深南东路5047号深圳发展银行大厦,广东省,深圳市
4,1,2011,13778,215.14777906808,74.6017636812309,10458,75.9,其他商业银行,深圳市深南东路5047号深圳发展银行大厦,广东省,深圳市
5,1,2012,24251,163.905191538493,55.2665910684095,18140,74.8,货币金融服务,中国广东省深圳市深南东路5047号,广东省,深圳市
6,1,2013,28369,183.964891254538,53.6888857555783,21461,75.65,货币金融服务,中国广东省深圳市深南东路5047号,广东省,深圳市
7,1,2014,29860,245.837240455459,66.3161419959812,23237,77.82,货币金融服务,广东省深圳市罗湖区深南东路5047号,广东省,深圳市
8,1,2015,32299,297.727483823029,67.6955942908449,25652,79.42,货币金融服务,广东省深圳市罗湖区深南东路5047号,广东省,深圳市
9,1,2016,32993,326.478343891128,68.4963477101203,26731,81.02,货币金融服务,广东省深圳市深南东路5047号,广东省,深圳市
10,1,2017,31168,339.405800821355,74.4000256673511,25720,82.52,货币金融服务,广东省深圳市深南东路5047号,广东省,深圳市
11,1,2018,33708,346.25608164234,73.626438827578,28348,84.0987,货币金融服务,广东省深圳市深南东路5047号,广东省,深圳市
12,1,2019,33440,412.553827751196,84.3151913875598,28624,85.6,货币金融服务,广东省深圳市深南东路5047号;广东省深圳市福田区益田路5023号平安金融中心B座,广东省,深圳市
13,1,2020,36115,425.147445659698,80.0996815727537,31156,86.27,货币金融服务,广东省深圳市深南东路5047号;广东省深圳市福田区益田路5023号平安金融中心B座,广东省,深圳市
14,1,2021,40651,416.676096528991,89.3852549752774,31156,86.27,货币金融服务,广东省深圳市深南东路5047号;广东省深圳市福田区益田路5023号平安金融中心B座,广东省,深圳市
15,1,2022,44207,406.937815278123,102.961069513878,31156,86.27,货币金融服务,广东省深圳市深南东路5047号;广东省深圳市福田区益田路5023号平安金融中心B座,广东省,深圳市
16,2,2007,16464,215.783596343173,29.4231990659014,5899,21.1048,房地产开发与经营业,中国深圳市福田区梅林路63号万科建筑研究中心,广东省,深圳市
17,2,2008,16515,248.209380653709,24.4212535748713,5899,21.1048,房地产开发与经营业,中国深圳市福田区梅林路63号万科建筑研究中心,广东省,深圳市
18,2,2009,17616,277.480773975306,30.2550960887829,5899,21.1048,房地产开发与经营业,中国深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
19,2,2010,22850,221.942457079344,31.8736413091904,5899,21.1048,房地产开发与经营业,中国深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
20,2,2011,27951,256.816392260313,34.4348154564416,5899,21.1048,房地产开发与经营业,中国深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
21,2,2012,31019,332.429301835714,40.462885303298,6718,21.6577,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
22,2,2013,35330,383.296889556609,42.7923843922446,7736,21.8964,房地产业,中国深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
23,2,2014,40647,360.144671189608,38.7370633618717,8878,21.8417,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
24,2,2015,42300,462.291087519858,42.8354757665957,8910,21.06,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
25,2,2016,58280,412.623948049657,36.0717334532601,10661,18.2927,房地产业,广东省深圳市盐田区大梅沙环路33号万科中心,广东省,深圳市
26,2,2017,77708,312.576710571009,36.0990050990374,13705,17.6365,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
27,2,2018,104300,285.406837107565,32.3802988289645,21427,20.5436,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
28,2,2019,131505,279.756570122003,29.5593984117106,30520,23.21,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
29,2,2020,140565,298.162186685249,29.5347667920962,31515,22.42,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
30,2,2021,139494,324.60017920064,16.1469549824509,38675,27.73,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
31,2,2022,131817,382.225636570973,17.1584685711631,38675,27.73,房地产业,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省,深圳市
32,4,2007,284,14.242796306338,-3.26312369366197,76,23.6,公路运输业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
33,4,2008,288,15.0398697465278,-3.86195854861111,76,23.6,公路运输业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
34,4,2009,291,20.6462544158076,0.848400426116839,76,23.6,公路运输业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
35,4,2010,277,47.4120919458484,4.19642322021661,76,23.6,化学药品制剂制造业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
36,4,2011,322,23.1378007857143,0.928537593167702,76,23.6,化学药品制剂制造业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
37,4,2012,277,35.1492063574007,0.723918758122744,76,27.44,医药制造业,广东省深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
38,4,2013,243,29.9524967736625,-0.425258008230453,46,18.93,医药制造业,深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
39,4,2014,220,36.6403727272727,1.72789715454545,48,21.82,医药制造业,广东省深圳市福田区商报路奥林匹克大厦6楼D-E,广东省,深圳市
40,4,2015,208,57.9107800384616,0.599576100961538,36,17.31,医药制造业,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省,深圳市
41,4,2016,179,160.709512055866,21.954921821229,34,18.99,医药制造业,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省,深圳市
42,4,2017,172,80.5847918488372,4.98065154069768,33,19.19,医药制造业,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省,深圳市
43,4,2018,210,174.699430809524,-9.65275418095238,59,28.1,医药制造业,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省,深圳市
44,4,2019,251,43.1261742310757,1.23480791633466,140,55.78,软件和信息技术服务业,广东省深圳市福田区梅林路卓越梅林中心广场(南区)B座2206A,广东省,深圳市
45,4,2020,264,106.261745537879,24.4784571098485,147,55.68,软件和信息技术服务业,广东省深圳市福田区梅林路卓越梅林中心广场(南区)B座2206A,广东省,深圳市
46,4,2021,309,93.5094438899676,-164.759643650485,166,53.72,软件和信息技术服务业,广东省深圳市福田区梅林路卓越梅林中心广场(南区)B座2206A,广东省,深圳市
47,4,2022,296,56.2375979560811,-201.068501864865,159,53.72,软件和信息技术服务业,广东省深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层,广东省,深圳市
48,5,2007,681,43.9106626152717,12.7506825418502,58,15.18,综合类,深圳市人民南路发展中心大厦13楼,广东省,深圳市
49,5,2008,684,15.8947755599415,1.53504677192983,58,15.18,综合类,深圳市人民南路发展中心大厦13楼,广东省,深圳市
50,5,2009,712,6.06635905617977,-6.87072036235955,58,15.18,综合类,深圳市人民南路发展中心大厦13楼,广东省,深圳市
51,5,2010,671,20.4521956557377,-0.659670208643815,58,15.18,综合类,深圳市人民南路发展中心大厦13楼,广东省,深圳市
52,5,2011,501,12.6816045928144,2.27837350299401,58,15.18,综合类,深圳市人民南路发展中心大厦13楼,广东省,深圳市
53,5,2012,382,26.0264994109948,5.76482143717278,58,15.18,房地产业,广东省深圳市罗湖区人民南路发展中心大厦13楼,广东省,深圳市
54,5,2013,376,13.8461975239362,-11.2619029840425,61,16.2234,房地产业,深圳市罗湖区人民南路发展中心大厦13楼,广东省,深圳市
55,5,2014,421,12.5361031567696,10.252718327791,65,15.44,房地产业,广东省深圳市人民南路发展中心大厦13层,广东省,深圳市
56,5,2015,535,15.7244805028037,-10.3251079196262,160,29.91,房地产业,广东省深圳市人民南路发展中心大厦13层,广东省,深圳市
57,5,2016,618,77.9714293381877,17.5820957119741,168,27.18,生态保护和环境治理业,广东省深圳市罗湖区人民南路发展中心大厦13楼,广东省,深圳市
58,5,2017,705,75.3081178056738,2.17140933900709,188,26.67,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省,深圳市
59,5,2018,745,65.2591913758389,19.9743749959732,177,23.76,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省,深圳市
60,5,2019,680,81.2660412691177,25.6894620014706,184,27.06,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省,深圳市
61,5,2020,629,63.4214718060413,-61.5076461160572,177,28.14,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省,深圳市
62,5,2021,563,68.1236600248668,24.6956901989343,160,28.42,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省,深圳市
63,5,2022,488,58.1441916926229,-31.9789714036885,134,27.46,生态保护和环境治理业,广东省深圳市罗湖区深南东路2017号华乐大厦3F,广东省,深圳市
64,6,2007,173,591.929628150289,145.790751283237,200,70.67,房地产开发与经营业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
65,6,2008,177,577.256818677966,84.8699199887006,200,70.67,房地产开发与经营业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
66,6,2009,250,739.694325488,130.522672576,200,70.67,房地产开发与经营业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
67,6,2010,276,847.367587202898,174.475542181159,200,70.67,房地产开发与经营业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
68,6,2011,283,914.938259727915,153.345536614841,200,70.67,房地产开发与经营业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
69,6,2012,290,1060.77416653448,212.810604827586,209,72.07,房地产业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
70,6,2013,296,1557.72129195946,235.16410547973,161,54.3919,房地产业,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
71,6,2014,329,707.820544899696,154.41662681459,203,61.7,房地产业,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
72,6,2015,352,1038.15610716761,118.395693045455,215,61.08,房地产业,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
73,6,2016,370,907.790931310811,210.427272967568,238,64.3243,房地产业,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
74,6,2017,370,799.851417218919,217.739558002703,240,64.86,房地产业,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省,深圳市
75,6,2018,377,666.271731925729,231.894779633952,263,69.76,房地产业,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,深圳市
76,6,2019,385,969.17665967013,208.094305041558,270,70.13,房地产业,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,深圳市
77,6,2020,397,739.227530198992,217.793163057934,280,70.53,房地产业,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,深圳市
78,6,2021,403,766.394670662531,134.414429436725,288,71.46,房地产业,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,深圳市
79,6,2022,425,870.544365037647,98.7339032164706,315,74.12,房地产业,广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,广东省,深圳市
80,7,2007,911,20.3411284324918,1.26827084193194,49,7.26,房地产开发与经营业,深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
81,7,2008,849,18.7267256595995,-7.21160116961131,49,7.26,房地产开发与经营业,深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
82,7,2009,799,16.684750086358,3.27025868085106,49,7.26,房地产开发与经营业,深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
83,7,2010,751,19.080171966711,1.57875618375499,49,7.26,旅馆业,深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
84,7,2011,675,24.4947441911111,0.844699094814815,49,7.26,旅馆业,深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
85,7,2012,762,41.0321406889764,0.871598034120735,52,6.82,住宿业,广东省深圳市华强北路现代之窗大厦A座25楼,广东省,深圳市
86,7,2013,674,31.8024537774481,3.45215726261128,52,7.7151,住宿业,深圳市华强北路现代之窗大厦A座26楼,广东省,深圳市
